proteinID,geneID
R113A_HUMAN,RNF113A
P2RX6_HUMAN,P2RX6
KDM6A_HUMAN,KDM6A
CLD3_HUMAN,CLDN3
FFAR2_HUMAN,FFAR2
MEFV_HUMAN,MEFV
KCNN4_HUMAN,KCNN4
DHX15_HUMAN,DHX15
SGSM2_HUMAN,SGSM2
MCES_HUMAN,RNMT
ZZEF1_HUMAN,ZZEF1
ASAP2_HUMAN,ASAP2
TET3_HUMAN,TET3
FLRT2_HUMAN,FLRT2
TTI1_HUMAN,TTI1
PLXB1_HUMAN,PLXNB1
RRP8_HUMAN,RRP8
PJA2_HUMAN,PJA2
SI1L1_HUMAN,SIPA1L1
ZBT24_HUMAN,ZBTB24
CYB5B_HUMAN,CYB5B
PRP4_HUMAN,PRPF4
SIA8C_HUMAN,ST8SIA3
CP26A_HUMAN,CYP26A1
SERA_HUMAN,PHGDH
NDUS4_HUMAN,NDUFS4
RHG06_HUMAN,ARHGAP6
ADA12_HUMAN,ADAM12
CRX_HUMAN,CRX
IRAK2_HUMAN,IRAK2
PHF1_HUMAN,PHF1
MTLR_HUMAN,MLNR
GPR39_HUMAN,GPR39
MSH5_HUMAN,MSH5
SEPT4_HUMAN,SEPTIN4
DC1L2_HUMAN,DYNC1LI2
PSMD3_HUMAN,PSMD3
HXC11_HUMAN,HOXC11
RFOX2_HUMAN,RBFOX2
PAPS1_HUMAN,PAPSS1
SIAH2_HUMAN,SIAH2
ZNHI1_HUMAN,ZNHIT1
ZW10_HUMAN,ZW10
PROD_HUMAN,PRODH
SPIT1_HUMAN,SPINT1
TREA_HUMAN,TREH
EFS_HUMAN,EFS
M3K13_HUMAN,MAP3K13
B4GT5_HUMAN,B4GALT5
SNUT1_HUMAN,SART1
SPIT2_HUMAN,SPINT2
GPAA1_HUMAN,GPAA1
DAPK3_HUMAN,DAPK3
TGFI1_HUMAN,TGFB1I1
SRGP3_HUMAN,SRGAP3
ZN264_HUMAN,ZNF264
ZBT43_HUMAN,ZBTB43
AP5Z1_HUMAN,AP5Z1
LRRT2_HUMAN,LRRTM2
CP110_HUMAN,CCP110
ADCY6_HUMAN,ADCY6
ARHG9_HUMAN,ARHGEF9
ZSC12_HUMAN,ZSCAN12
CTIF_HUMAN,CTIF
MTSS1_HUMAN,MTSS1
ATMIN_HUMAN,ATMIN
VIP2_HUMAN,PPIP5K2
AQP9_HUMAN,AQP9
PAX4_HUMAN,PAX4
M3K7_HUMAN,MAP3K7
FGF16_HUMAN,FGF16
DHH_HUMAN,DHH
MCA3_HUMAN,EEF1E1
RIPK2_HUMAN,RIPK2
HXA2_HUMAN,HOXA2
HXA3_HUMAN,HOXA3
RASL2_HUMAN,RASA4
WDR62_HUMAN,WDR62
HNRPR_HUMAN,HNRNPR
PRPF3_HUMAN,PRPF3
TXNL1_HUMAN,TXNL1
TPD54_HUMAN,TPD52L2
EMC8_HUMAN,EMC8
COCH_HUMAN,COCH
P52K_HUMAN,THAP12
GRID2_HUMAN,GRID2
SYNJ1_HUMAN,SYNJ1
FIBP_HUMAN,FIBP
IF4G3_HUMAN,EIF4G3
TBX1_HUMAN,TBX1
MTG8R_HUMAN,CBFA2T2
PPIH_HUMAN,PPIH
MGA_HUMAN,MGAM
MBTP2_HUMAN,MBTPS2
SUV91_HUMAN,SUV39H1
HTRA2_HUMAN,HTRA2
KLF4_HUMAN,KLF4
MS18B_HUMAN,OIP5
ARK72_HUMAN,AKR7A2
PROM1_HUMAN,PROM1
E41L2_HUMAN,EPB41L2
TGON2_HUMAN,TGOLN2
CAC1G_HUMAN,CACNA1G
RA51C_HUMAN,RAD51C
LTOR5_HUMAN,LAMTOR5
B4GA1_HUMAN,B4GAT1
ADA20_HUMAN,ADAM20
TNF12_HUMAN,TNFSF12
S26A4_HUMAN,SLC26A4
MED7_HUMAN,MED7
WIPF1_HUMAN,WIPF1
AT8B1_HUMAN,ATP8B1
B2L11_HUMAN,BCL2L11
FOXO3_HUMAN,FOXO3
KCNQ3_HUMAN,KCNQ3
KCNQ2_HUMAN,KCNQ2
CHSTA_HUMAN,CHST10
SMAD6_HUMAN,SMAD6
XRCC3_HUMAN,XRCC3
XRCC2_HUMAN,XRCC2
TGM5_HUMAN,TGM5
SGCE_HUMAN,SGCE
TNF14_HUMAN,TNFSF14
FRS3_HUMAN,FRS3
LAT_HUMAN,LAT
RGS14_HUMAN,RGS14
RNF13_HUMAN,RNF13
CAH12_HUMAN,CA12
AKA10_HUMAN,AKAP10
SYT7_HUMAN,SYT7
DENR_HUMAN,DENR
PPIP1_HUMAN,PSTPIP1
XPOT_HUMAN,XPOT
HAIR_HUMAN,HR
SPY2_HUMAN,SPRY2
DNPH1_HUMAN,DNPH1
DCX_HUMAN,DCX
GALR2_HUMAN,GALR2
SPY1_HUMAN,SPRY1
SPY3_HUMAN,SPRY3
OREX_HUMAN,HCRT
OX1R_HUMAN,HCRTR1
OX2R_HUMAN,HCRTR2
TIM44_HUMAN,TIMM44
TPPC3_HUMAN,TRAPPC3
SNAI2_HUMAN,SNAI2
CHM2A_HUMAN,CHMP2A
NCK2_HUMAN,NCK2
PSCA_HUMAN,PSCA
PLRG1_HUMAN,PLRG1
PRC1_HUMAN,PRC1
RGS10_HUMAN,RGS10
ZN207_HUMAN,ZNF207
